TOTAL LAP,'00:00:41.66
BEST LAP,'00:00:03.08
AVERAGE LAP,'00:00:05.20
LAP,LAP TIME,REC TIME,ST(%),TH(%),RPM,VOLT(V),TMP1(deg C),TMP2(deg C),
L000,'00:00:00.00,'00:00:00.00,-000, 032,00000,000.00,000.0,000.0
,,'00:00:00.01,-000, 084,00000,000.00,000.0,000.0
,,'00:00:00.02,-000, 084,00000,000.00,000.0,000.0
,,'00:00:00.03,-000, 089,00000,000.00,000.0,000.0
,,'00:00:00.04,-000, 092,00000,000.00,000.0,000.0
,,'00:00:00.05,-000, 092,00000,000.00,000.0,000.0
,,'00:00:00.06,-000, 092,00000,000.00,000.0,000.0
,,'00:00:00.07,-000, 092,00000,000.00,000.0,000.0
,,'00:00:00.08,-000, 081,00000,000.00,000.0,000.0
,,'00:00:00.09,-000, 081,00000,000.00,000.0,000.0
,,'00:00:00.10,-000, 074,00000,000.00,000.0,000.0
,,'00:00:00.11,-000, 064,00000,000.00,000.0,000.0
,,'00:00:00.12,-000, 064,00000,000.00,000.0,000.0
,,'00:00:00.13,-000, 064,00000,000.00,000.0,000.0
,,'00:00:00.14,-000, 064,00000,000.00,000.0,000.0
,,'00:00:00.15,-000, 013,00000,000.00,000.0,000.0
,,'00:00:00.16,-000, 011,00000,000.00,000.0,000.0
,,'00:00:00.17,-000, 001,00000,000.00,000.0,000.0
,,'00:00:00.18,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.19,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.20,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.21,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.22,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.23,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.24,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.25,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.26,-000,-000,00000,000.00,000.0,000.0
,,'00:00:00.27,-000,-000,00000,000.00,000.0,000.0
